Time,Channel A,Channel D
(ms),(V),(V)
,,
1.36123833,-0.6525455,407.5204
1.36623833,-1.078623,406.7269
1.37123833,-0.9693566,407.2763
1.37623833,-1.15981,407.2763
1.38123833,-1.012086,406.9711
1.38623833,-1.008424,406.7269
1.39123833,-0.9486021,407.2763
1.39623833,-1.121353,407.2763
1.40123833,-1.022464,407.2763
1.40623833,-1.057868,406.9711
1.41123833,-0.9803443,407.2763
1.41623833,-1.078623,406.9711
1.42123833,-0.9943841,407.2763
1.42623833,-0.9626419,406.9711
1.43123833,-0.9522647,406.7269
1.43623833,-1.064583,407.2763
1.44123833,-0.9840068,407.2763
1.44623833,-1.085948,407.2763
1.45123833,-1.085948,406.9711
1.45623833,-0.9840068,406.9711
1.46123833,-1.14577,407.2763
1.46623833,-1.054206,407.2763
1.47123833,-1.114028,407.2763
1.47623833,-1.085948,406.9711
1.48123833,-1.142107,406.4217
1.48623833,-1.012086,406.7269
1.49123833,-1.156757,406.7269
1.49623833,-1.054206,406.9711
1.50123833,-1.163472,406.7269
1.50623833,-1.149432,406.1775
1.51123833,-0.8851178,407.2763
1.51623833,-1.047491,406.7269
1.52123833,-1.061531,406.4217
1.52623833,-1.057868,406.7269
1.53123833,-1.043829,406.7269
1.53623833,-1.170797,406.7269
1.54123833,-1.040166,406.7269
1.54623833,-1.075571,406.7269
1.55123833,-0.9766817,406.4217
1.55623833,-1.093273,406.4217
1.56123833,-0.91686,406.7269
1.56623833,-1.142107,406.7269
1.57123833,-0.9840068,406.7269
1.57623833,-1.068246,406.7269
1.58123833,-0.8075937,406.1775
1.58623833,-0.9907215,406.9711
1.59123833,-0.9131974,406.1775
1.59623833,-1.061531,406.9711
1.60123833,-0.9943841,406.9711
1.60623833,-1.068246,406.7269
1.61123833,-0.9308997,406.4217
1.61623833,-0.9870589,406.9711
1.62123833,-0.8887804,406.9711
1.62623833,-1.089611,406.9711
1.63123832,-0.9235746,406.7269
1.63623832,-1.047491,406.4217
1.64123832,-0.9522647,407.2763
1.64623832,-1.050543,406.9711
1.65123832,-0.9449396,406.9711
1.65623832,-1.054206,406.4217
1.66123832,-1.022464,406.7269
1.66623832,-1.198877,406.4217
1.67123832,-0.9449396,406.7269
1.67623832,-1.061531,406.7269
1.68123832,-0.941277,406.7269
1.68623832,-1.078623,406.4217
1.69123832,-0.9345623,406.4217
1.69623832,-0.4376755,406.7269
1.70123832,-0.9589794,406.7269
1.70623832,-1.099988,406.9711
1.71123832,-0.9943841,406.9711
1.71623832,-1.061531,406.4217
1.72123832,-0.9376144,406.7269
1.72623832,-1.057868,406.9711
1.73123832,-0.9870589,406.7269
1.73623832,-1.064583,406.4217
1.74123832,-0.941277,406.7269
1.74623832,-1.004761,406.9711
1.75123832,-0.8954951,407.2763
1.75623832,-0.9766817,406.7269
1.76123832,-1.012086,406.7269
1.76623832,-0.8112562,406.9711
1.77123832,-0.9840068,406.9711
1.77623832,-0.941277,406.9711
1.78123832,-0.9553168,406.4217
1.78623832,-0.6733,408.0698
1.79123832,-0.91686,407.8257
1.79623832,-0.9766817,407.5204
1.80123832,-1.001099,407.5204
1.80623832,-1.008424,407.8257
1.81123832,-1.004761,407.8257
1.81623832,-0.9131974,407.5204
1.82123832,-0.9626419,407.8257
1.82623832,-0.9486021,407.2763
1.83123832,-0.9870589,407.5204
1.83623832,-0.9376144,407.5204
1.84123832,-1.054206,407.5204
1.84623832,-0.9693566,407.8257
1.85123832,-1.001099,407.5204
1.85623832,-0.8918325,407.2763
1.86123832,-0.9980466,407.2763
1.86623832,-0.9064827,406.9711
1.87123832,-0.9766817,406.9711
1.87623832,-0.9272372,407.5204
1.88123832,-1.022464,406.9711
1.88623832,-0.9028202,407.2763
1.89123832,-1.082285,406.7269
1.89623832,-0.8747405,406.9711
1.90123832,-1.001099,406.9711
1.90623832,-0.8112562,407.2763
1.91123832,-1.015749,407.2763
1.91623832,-0.8954951,406.9711
1.92123832,-1.008424,406.9711
1.92623832,-0.8356733,406.9711
1.93123832,-0.9980466,407.2763
1.93623832,-0.9064827,407.2763
1.94123832,-0.9943841,407.2763
1.94623832,-0.8851178,406.7269
1.95123832,-0.9766817,406.7269
1.95623832,-0.9028202,406.9711
1.96123832,-0.9943841,406.9711
1.96623832,-0.871078,406.9711
1.97123832,-1.064583,406.4217
1.97623832,-0.8954951,406.7269
1.98123832,-0.9131974,406.9711
1.98623832,-0.9663045,406.7269
1.99123832,-1.015749,406.7269
1.99623832,-0.871078,406.7269
2.00123832,-1.043829,406.4217
2.00623832,-0.9730191,406.7269
2.01123832,-0.9907215,406.9711
2.01623832,-0.9205225,406.9711
2.02123832,-0.9840068,406.9711
2.02623832,-1.001099,406.7269
2.03123831,-1.047491,406.9711
2.03623831,-0.9589794,406.9711
2.04123831,-0.388231,406.7269
2.04623831,-0.9943841,406.7269
2.05123831,-1.071908,406.4217
2.05623831,-0.9693566,406.7269
2.06123831,-1.071908,406.4217
2.06623831,-1.004761,406.7269
2.07123831,-0.8887804,406.7269
2.07623831,-1.057868,406.4217
2.08123831,-0.9840068,406.7269
2.08623831,-0.9803443,407.2763
2.09123831,-0.9272372,406.7269
2.09623831,-0.9663045,406.9711
2.10123831,-1.015749,406.9711
2.10623831,-0.8320107,406.9711
2.11123831,-1.029789,407.2763
2.11623831,-1.026126,407.2763
2.12123831,-1.004761,407.2763
2.12623831,-0.9235746,406.9711
2.13123831,-0.9870589,406.9711
2.13623831,-0.91686,407.2763
2.14123831,-0.9486021,407.2763
2.14623831,-1.099988,406.7269
2.15123831,-0.9486021,407.2763
2.15623831,-0.9205225,407.2763
2.16123831,-0.9064827,406.9711
2.16623831,-0.8497131,407.5204
2.17123831,-0.9589794,407.2763
2.17623831,-0.8356733,407.5204
2.18123831,-0.9486021,407.5204
2.18623831,-0.8674154,407.5204
2.19123831,-0.9766817,406.9711
2.19623831,-0.8991576,407.2763
2.20123831,-1.015749,407.2763
2.20623831,-0.9840068,406.9711
2.21123831,-0.9376144,407.2763
2.21623831,-0.8991576,406.9711
2.22123831,-0.9943841,406.9711
2.22623831,-0.9131974,407.2763
2.23123831,-0.9870589,407.2763
2.23623831,-0.9028202,407.2763
2.24123831,-0.5890611,406.9711
2.24623831,-0.9589794,407.2763
2.25123831,-0.9943841,406.9711
2.25623831,-0.8637529,406.9711
2.26123831,-1.209254,406.9711
2.26623831,-0.8570382,407.2763
2.27123831,-1.057868,406.9711
2.27623831,-0.9553168,406.9711
2.28123831,-0.9553168,407.2763
2.28623831,-0.8777927,406.9711
2.29123831,-0.9907215,406.7269
2.29623831,-0.8851178,406.9711
2.30123831,-0.9730191,406.9711
2.30623831,-0.9028202,406.7269
2.31123831,-0.4547674,406.7269
2.31623831,-0.7898914,406.9711
2.32123831,-0.9449396,406.7269
2.32623831,-0.8112562,406.7269
2.33123831,-0.9870589,406.7269
2.33623831,-0.8216335,407.2763
2.34123831,-0.941277,406.4217
2.34623831,-0.7441094,406.9711
2.35123831,-0.91686,406.9711
2.35623831,-0.8283482,406.7269
2.36123831,-0.9486021,406.9711
2.36623831,-0.9308997,406.7269
2.37123831,-0.9272372,406.7269
2.37623831,-0.9064827,406.7269
2.38123831,-0.7050421,406.7269
2.38623831,-0.9131974,406.9711
2.39123831,-0.9308997,406.9711
2.39623831,-0.9345623,406.7269
2.40123831,-0.9131974,406.7269
2.40623831,-0.9766817,406.4217
2.41123831,-0.8887804,406.7269
2.41623831,-0.8179709,406.4217
2.42123831,-0.8918325,406.4217
2.4262383,-0.9345623,407.2763
2.4312383,-0.9589794,406.9711
2.4362383,-0.9205225,406.9711
2.4412383,-0.8991576,407.2763
2.4462383,-0.8991576,407.2763
2.4512383,-0.6910023,407.2763
2.4562383,-0.9308997,407.2763
2.4612383,-0.8356733,406.7269
2.4662383,-0.9235746,407.2763
2.4712383,-0.8747405,406.9711
2.4762383,-0.8918325,406.9711
2.4812383,-0.9626419,407.2763
2.4862383,-0.825296,406.9711
2.4912383,-0.8918325,406.9711
2.4962383,-0.8954951,406.9711
2.5012383,-0.9064827,406.9711
2.5062383,-0.8777927,406.9711
2.5112383,-0.8216335,406.9711
2.5162383,-0.8570382,406.9711
2.5212383,-0.7123672,406.9711
2.5262383,-0.8887804,406.7269
2.5312383,-0.8143084,406.4217
2.5362383,-0.8460505,406.7269
2.5412383,-0.7935539,406.7269
2.5462383,-0.7825662,406.9711
2.5512383,-1.230619,406.9711
2.5562383,-0.7825662,407.5204
2.5612383,-0.8887804,407.2763
2.5662383,-0.9131974,407.2763
2.5712383,-0.8143084,407.5204
2.5762383,-0.8600903,407.2763
2.5812383,-0.8637529,406.9711
2.5862383,-0.6842876,406.9711
2.5912383,-0.8429984,406.9711
2.5962383,-0.8674154,406.9711
2.6012383,-0.8570382,406.9711
2.6062383,-0.7935539,406.9711
2.6112383,-0.8747405,407.2763
2.6162383,-0.8143084,406.9711
2.6212383,-0.9376144,406.7269
2.6262383,-0.8179709,406.7269
2.6312383,-0.8674154,407.2763
2.6362383,-0.7972164,407.2763
2.6412383,-0.9064827,406.9711
2.6462383,-0.7862288,407.2763
2.6512383,-0.8320107,407.2763
2.6562383,-0.7685264,406.9711
2.6612383,-0.8533757,407.2763
2.6662383,-0.7618117,406.7269
2.6712383,-0.7935539,406.9711
2.6762383,-0.7825662,406.4217
2.6812383,-0.8356733,406.9711
2.6862383,-0.7190819,406.7269
2.6912383,-0.8600903,407.2763
2.6962383,-1.125015,406.7269
2.7012383,-0.7581491,407.2763
2.7062383,-0.7544866,406.7269
2.7112383,-0.8320107,406.7269
2.7162383,-0.7160298,406.7269
2.7212383,-0.7367843,406.9711
2.7262383,-0.7337321,406.7269
2.7312383,-0.772189,406.4217
2.7362383,-0.7441094,406.7269
2.7412383,-0.7795141,406.7269
2.7462383,-0.7685264,406.4217
2.7512383,-0.772189,406.4217
2.7562383,-0.772189,406.4217
2.7612383,-0.772189,406.1775
2.7662383,-0.5994384,406.9711
2.7712383,-0.8112562,406.7269
2.7762383,-0.7160298,406.9711
2.7812383,-0.8112562,406.7269
2.7862383,-0.7404468,406.4217
2.7912383,-0.7050421,406.7269
2.7962383,-0.7404468,406.4217
2.8012383,-0.7825662,406.7269
2.8062383,-0.7654743,406.7269
2.8112383,-0.7618117,406.7269
2.8162383,-0.8283482,406.7269
2.82123829,-0.7508241,406.7269
2.82623829,-0.7825662,406.9711
2.83123829,-0.772189,406.9711
2.83623829,-0.8674154,406.4217
2.84123829,-0.7300696,406.7269
2.84623829,-0.7581491,406.1775
2.85123829,-0.6806251,406.4217
2.85623829,-0.6385057,406.1775
2.86123829,-0.6592602,406.9711
2.86623829,-0.7264071,406.4217
2.87123829,-0.7441094,406.9711
2.87623829,-0.7825662,407.5204
2.88123829,-0.7123672,406.9711
2.88623829,-0.7367843,406.9711
2.89123829,-0.6769625,406.9711
2.89623829,-0.6842876,406.9711
2.90123829,-0.7544866,406.7269
2.90623829,-0.6769625,406.7269
2.91123829,-0.7581491,406.9711
2.91623829,-0.772189,406.7269
2.92123829,-0.7190819,406.7269
2.92623829,-0.4657551,406.9711
2.93123829,-0.7477719,407.5204
2.93623829,-0.7654743,407.5204
2.94123829,-0.7654743,407.2763
2.94623829,-0.8320107,407.2763
2.95123829,-0.7337321,407.5204
2.95623829,-0.7972164,407.2763
2.96123829,-0.8075937,407.5204
2.96623829,-0.7581491,407.5204
2.97123829,-0.9907215,406.9711
2.97623829,-0.70199,407.2763
2.98123829,-0.8600903,406.9711
2.98623829,-0.8179709,406.9711
2.99123829,-0.8600903,406.9711
2.99623829,-0.656208,406.9711
3.00123829,-0.8747405,406.9711
3.00623829,-0.825296,407.2763
3.01123829,-0.9095348,406.9711
3.01623829,-0.8179709,407.5204
3.02123829,-0.8954951,407.5204
3.02623829,-0.7825662,407.2763
3.03123829,-0.8777927,407.2763
3.03623829,-0.7618117,407.5204
3.04123829,-1.043829,407.8257
3.04623829,-0.70199,407.5204
3.05123829,-0.7404468,407.2763
3.05623829,-0.7264071,407.5204
3.06123829,-0.7898914,407.2763
3.06623829,-0.6171408,406.9711
3.07123829,-0.7935539,407.5204
3.07623829,-0.7404468,406.9711
3.08123829,-0.7581491,407.5204
3.08623829,-0.6733,406.9711
3.09123829,-0.7441094,407.2763
3.09623829,-0.6385057,407.2763
3.10123829,-0.7227445,406.9711
3.10623829,-0.6946648,406.7269
3.11123829,-0.4901721,406.9711
3.11623829,-0.6592602,406.9711
3.12123829,-0.6488829,407.2763
3.12623829,-0.6098157,406.7269
3.13123829,-0.24356,406.9711
3.13623829,-0.6311805,406.9711
3.14123829,-0.7160298,406.7269
3.14623829,-0.6665853,406.7269
3.15123829,-0.656208,406.9711
3.15623829,-0.7300696,406.7269
3.16123829,-0.7300696,406.7269
3.16623829,-0.7300696,406.9711
3.17123829,-0.6702478,406.7269
3.17623829,-0.7300696,406.4217
3.18123829,-0.6769625,406.4217
3.18623829,-0.6348431,406.4217
3.19123829,-0.6946648,406.4217
3.19623829,-0.4901721,406.7269
3.20123829,-0.7404468,406.4217
3.20623829,-0.7441094,406.4217
3.21123829,-0.6879502,406.4217
3.21623828,-0.7337321,406.4217
3.22123828,-0.70199,406.7269
